NAME	BLCA_C	BRCA_C	CESC_C	COAD_C	KICH_C	KIRC_C	KIRP_C	LUAD_C	LUSC_C	OV_C	PRAD_C	READ_C	UCEC_C	BLCA_N	BRCA_N	CESC_N	COAD_N	KICH_N	KIRC_N	KIRP_N	LUAD_N	LUSC_N	PRAD_N	READ_N	UCEC_N
FLT1	629.1679	926.7901	380.74205	556.4626	1948.93395	11788.4323	358.5139	1081.993	792.8803	360.2771	662.1924	669.5527	681.80135	774.9271	1709.4197	2203.5336	449.8076	1781.6942	2949.76385	2520.44845	1663.2532	1832.6055	857.61415	475.8016	1190.3353
FNDC3A	958.1066	1327.9177	825.6465	1673.8817	1338.97405	2069.3069	1860.7155	1701.3771	1018.2088	1156.7696	1314.0689	1882.4459	1436.1969	1539.3828	2170.2594	2016.8317	1686.5801	2203.7019	2593.87895	2047.8869	1855.7343	1865.1617	1855.33295	1824.87225	2326.00405
FOXP1	1071.0562	1672.0865	800.37775	1188.545	2135.8173	647.3755	616.2233	1198.8848	667.2891	807.0624	2429.9321	1137.0974	738.61315	1649.8148	2041.5094	1718.8119	1497.5149	637.8046	894.42015	708.0694	2012.0482	1797.0822	2121.0907	1973.28985	1517.17415
FXYD5	2484.6881	1599.34975	1936.49665	2105.5858	323.43075	1603.3846	1005.2632	1826.2145	1355.7171	1198.4069	416.4459	2056.03135	777.4489	1647.4954	1445.7672	2196.1131	550.6363	431.1891	436.56315	347.223	1800.4518	2123.7263	595.2365	595.52455	1384.8455
FYN	423.97495	494.1153	315.43635	394.0328	266.23345	1362.1518	411.0921	772.1239	610.0692	747.8754	208.7766	403.03935	562.0999	1357.2603	989.4158	2213.0742	528.5714	550.2137	740.74535	792.3338	1238.6081	1420	276.9988	714.18535	1682.3687
GLG1	3685.1935	3682.6129	3639.00765	4632.4549	8167.53195	6319.5377	6035.8845	4480.7818	5106.2335	3293.9445	4502.9431	4551.0188	4611.87635	4281.757	5555.1253	6736.9637	4137.252	4858.2872	6592.70295	6543.37505	4284.3639	4573.6024	5096.36585	4566.628	6195.27565
GLI2	27.86005	69.60085	29.26345	68.5579	8.41165	77.7027	7.6816	94.2225	196.6002	233.9499	66.0066	65.52885	36.34885	136.0533	127.6525	339.9293	77.2945	23.7192	31.65415	34.80815	89.7416	105.5789	114.94475	122.43945	299.54975
GLI3	281.22565	1120.04045	414.8573	65.3671	23.39715	167.2375	158.1428	183.2192	466.0947	484.4608	232.6478	65.85215	106.10285	485.7143	1423.1205	1787.9859	156.7091	102.572	163.8792	187.25155	387.5325	395.1249	525.59385	480.57865	886.35655
GNAS	23569.7285	25557.0453	18436.0672	16467.8674	54584.54945	20042.5691	21791.6948	20697.3926	22716.4071	32651.0417	19636.1124	20994.78485	43891.9357	18238.1715	20948.8561	21646.2898	14926.9384	23707.3979	19953.73415	20574.53995	16572.6664	18368.9131	18925.1142	16116.7732	23562.0335
GOLPH3	2224.12055	3155.2824	2344.9002	2589.1082	2825.877	2206.2628	1726.7421	3578.0385	3219.8912	3130.092	5485.0403	2653.80515	2109.8309	2251.895	2522.4215	2268.9513	2916.2987	2666.8711	2681.52775	2380.2621	2849.1532	2709.0407	4063.46835	3228.473	2127.52375
GPAM	258.68385	420.3499	252.44475	304.3995	848.15625	234.4437	265.6273	345.6862	303.46	284.2486	298.2908	331.3062	313.6669	264.7059	5679.8906	303.9604	295.0363	354.1513	433.6598	369.60345	341.0364	357.1065	346.0098	316.33375	325.34695
GPM6B	43.4014	131.45155	74.99355	24.9262	16.12955	35.8437	79.8452	88.2534	121.6247	488.6544	232.4115	30.49525	375.5855	211.0787	844.8656	109.894	173.9796	293.0629	268.4314	197.64685	562.3976	488.1394	551.6975	392.3609	292.94275
GRHL2	1688.98915	1833.2986	1664.55485	1135.7369	776.77465	1.938	1.3562	1123.778	1737.4297	950.052	3345.2261	1189.81705	1592.45735	1143.321	1229.5985	9.5406	830.4675	698.0827	457.9055	427.85715	623.4402	536.3026	2450.94615	675.3074	345.293
HCK	155.15185	292.783	286.9434	229.4648	243.89995	461.8685	280.0829	609.7786	737.9967	254.0443	110.3959	173.55795	173.92575	222.8654	220.2552	204.9505	554.2804	94.2786	94.4488	85.52295	1644.958	1909.7083	146.4165	427.18015	96.6127
HES1	2530.28185	1173.688	2102.149	1503.1552	365.0849	948.6776	959.2224	913.7074	1192.4812	890.8407	1856.3711	1545.03755	1250.10405	1733.6986	1216.8254	802.8269	1498.7911	1844.6636	1268.3278	1281.47955	637.9453	594.4866	1956.98305	1443.1224	787.7648
HHLA2	0.1206	0.354	0.62385	530.3352	0.6799	1322.9164	678.6967	32.0347	7.6059	2.0824	2.1164	526.4269	11.73225	0.5252	0.317	0.7067	5011.7672	20.044	109.14695	139.40115	84.399	65.4997	1.46465	3693.86125	1.0816
HOXA7	254.8386	49.3424	290.5254	345.5017	1036.94575	229.3746	558.8218	28.7131	55.1358	30.2916	69.0035	331.1799	63.13415	248.5084	372.8673	187.1089	397.4762	775.2914	642.5691	662.57755	72.19	81.5788	166.095	284.6869	178.2848
HSPH1	3312.66755	2778.55455	2873.66235	4096.4427	2630.0579	968.7875	1466.171	1973.5947	2965.4498	2114.5675	1520.5717	5852.55085	2235.3024	2024.1926	1770.0201	1237.4558	1360.0892	1470.6297	1794.41855	1618.7466	1646.1419	1766.5	1786.2258	1229.63245	1746.22195
IBSP	6.9626	23.47095	2.32955	6.9499	0.50855	3.5279	0.4568	8.3091	9.3257	18.6314	0	7.20075	4.6968	0	0	0	0	0	0	0	0.7298	0.4331	0	0	0
ICAM1	1121.53475	1109.7046	1740.6556	1017.9567	350.20705	3118.3366	1457.8261	8062.469	2474.4376	2131.4141	617.1525	957.0376	1034.4885	1056.5598	890.65	878.7986	625.2485	969.4572	955.777	910.61415	12286.8976	15768.6993	479.79655	592.21685	602.11155
ICAM2	249.1982	224.0814	128.75335	306.8084	243.69665	798.665	432.761	469.4403	212.6663	132.5882	138.6535	263.0214	312.98225	575.172	646.1375	1202.7527	406.8369	746.3026	554.229	568.0703	1224.4849	1446.6144	179.68245	405.8085	595.9828
ICAM4	11.7246	4.14075	27.32195	6.7035	25.87055	8.3196	6.9866	136.6077	35.7539	24.6738	5.2219	6.51745	7.3114	25.8824	8.5679	10.5611	19.4611	8.2699	5.2375	8.67595	379.8041	441.1226	10.4214	15.68575	8.54665
ICAM5	11.8632	3.39415	30.0826	4.4732	32.1677	2.381	3.4207	106.5675	47.4083	55.5885	3.3076	4.0124	9.7543	7.6471	17.1804	8.5809	3.1889	11.3832	4.9656	7.391	256.656	218.7328	3.19305	1.507	2.81345
IFT74	238.3746	362.9594	239.19985	343.7604	164.253	268.5768	321.1632	211.4444	191.0786	275.2034	353.4426	395.9564	315.2062	302.5095	363.109	315.1815	359.6408	456.4124	452.1782	361.3964	224.0446	247.3567	327.9999	363.4263	408.4326
IGF1	35.72365	264.5743	65.7151	38.4123	398.00005	128.7655	37.2747	175.3372	134.8369	608.4821	580.3907	42.56925	331.19965	587.1433	1802.9586	1041.2611	221.6315	104.1029	142.5115	113.4192	272.1281	278.9741	1022.04015	268.4869	1633.90695
IGFBP2	638.658	2281.99615	1650.2116	2777.0038	180.00895	323.2795	301.3889	1618.0082	9380.1653	14873.1346	5632.055	2711.6209	7733.3097	3094.2895	1432.1739	1788.7789	2299.269	3137.6428	2234.0671	2376.1092	1334.7339	1256.4306	3590.96415	882.7151	3043.22625
IGSF9	792.77355	866.8316	1034.25765	349.3315	49.75365	3.3852	6.0981	434.0442	1290.202	1826.5144	448.6572	386.30155	1046.52325	227.6715	267.1248	26.5018	1333.9117	52.87	26.6945	37.79525	35.7143	42.132	378.61865	679.5362	105.0427
IL12RB1	23.50055	33.8532	47.47415	53.2508	20.4737	89.7821	27.5535	76.1913	51.8489	33.0694	14.7857	37.83615	33.78195	28.2353	23.8316	17.4917	91.3024	8.8072	11.1682	13.4016	170.704	183.729	13.74615	58.72165	12.5485
IL18R1	49.5617	40.9539	67.0268	45.4173	12.384	196.8647	85.4743	70.9004	87.1935	37.9377	30.5062	39.652	59.1462	60.5882	70.7705	68.9769	84.2105	75.4509	68.74745	62.47785	206.9773	241.0225	45.94165	58.89115	62.64795
IL2	0	0.2647	0	0	0	0.3771	0	0.4963	0	0	0	0	0	227.9412	203.9538	127.2104	445.7023	39.0487	43.5298	40.31445	451.3588	606.9213	146.31285	312.75945	249.8904
IL4R	2334.37825	1007.37245	3035.3072	1740.3946	246.4898	1600.6171	1384.1029	1977.7348	1529.0758	555.5556	872.4861	1720.30245	716.87815	2588.2353	1420.4531	1940.9241	2732.3917	610.7357	521.74875	538.53035	2203.407	2361.7785	1194.84265	2244.9119	1048.2924
IL7	31.9425	15.33235	47.42955	122.8627	15.64	90.0061	48.8401	67.9426	45.1367	15.3665	37.2427	108.1851	18.3726	50.5882	36.2826	11.8812	177.3004	37.7114	36.4946	32.8662	92.5486	106.9124	42.56005	131.6596	35.3224
ITCH	1399.3013	1399.40005	1189.3175	1540.8859	1397.7205	1378.3465	1242.5765	1474.5031	1591.1625	1239.7826	1192.2883	1755.10405	892.3892	1318.0212	1585.2427	992.2261	1562.1863	1371.962	1747.83805	1370.32775	1281.6065	1304.6527	1455.2417	1713.45845	1046.0877
ITGA4	129.8099	316.6601	135.6538	250.3736	99.9682	931.5838	111.8824	467.8199	394.1782	205.9874	105.2201	273.89685	133.45535	246.9941	260.9865	206.198	517.5834	136.7912	195.729	136.5731	732.8136	826.6497	118.1422	576.6273	121.58485
ITGA6	2780.4019	1903.95095	4319.3815	8387.9748	9225.4628	4804.6486	2824.861	1133.1689	6850.8842	1348.8617	2463.3907	7762.95665	2111.26645	4663.5616	5159.3194	3367.1378	5374.6645	2955.9601	3843.40985	3840.23895	2105.3105	2353.5963	3423.9772	4784.59375	3360.88335
ITGA8	9.6582	26.48945	5.23685	14.851	24.4263	218.6342	5.6201	68.0575	20.8217	6.7302	159.3042	20.509	8.9529	405.2478	59.417	94.3112	123.4234	225.7246	408.28405	338.77535	442.577	586.5	470.5944	98.5903	154.0036
ITGAE	284.4852	221.73345	345.83715	242.3013	100.7947	156.5836	244.3395	302.4823	339.9892	169.5194	225.5997	208.21875	299.25375	312.616	239.805	273.9274	286.2823	197.2996	166.5541	158.3124	449.5177	503.4521	231.3559	234.22965	221.80835
ITGAL	133.0846	455.71165	251.4151	184.4289	88.7451	740.3226	280.8132	690.8055	377.8946	197.9855	135.3221	150.89245	248.86135	343.4109	272.7351	160.1097	510.5339	74.1277	104.99395	112.047	1891.231	2041.1765	126.82955	367.85255	212.5153
ITGB8	401.17965	420.0243	1427.4641	435.546	457.8032	2757.688	11586.1921	437.2197	1714.6691	3226.0015	408.5427	505.14375	1222.92755	635.0728	1298.6952	572.7915	205.9639	2387.2083	4315.49965	3916.75795	284.2679	328.3201	1096.5424	200.4052	871.5818
