NAME	BLCA_C	BRCA_C	CESC_C	COAD_C	KICH_C	KIRC_C	KIRP_C	LUAD_C	LUSC_C	OV_C	PRAD_C	READ_C	UCEC_C	BLCA_N	BRCA_N	CESC_N	COAD_N	KICH_N	KIRC_N	KIRP_N	LUAD_N	LUSC_N	PRAD_N	READ_N	UCEC_N
TNFSF13B	19.1729	69.9276	31.1282	26.4571	10.40635	91.5119	21.2183	109.8885	64.3192	90.4864	14.1023	23.7479	17.6388	33.859	49.6242	9.2409	45.2144	9.6585	13.7651	9.0767	143.617	157.9155	12.15115	58.8312	9.56665
TNFSF18	0.29265	0.98215	0.50325	0.8703	0.3355	1.9417	0.4386	2.2556	3.4033	0.9149	0.3575	1.30975	0	0.4219	0.9488	0	0.8019	1.207	1.47305	1.23425	1.7689	2.4346	0.43315	0.17595	0
TNFSF8	8.30435	37.6884	8.31375	10.7502	8.3769	72.7273	20.6654	43.7573	25.2125	34.1024	9.9228	9.91545	9.9161	22.128	31.3456	13.2013	28.7795	11.5566	13.55515	9.98595	56.516	70.7893	9.45	51.07415	9.2379
TP63	2578.82465	122.1116	4952.45785	3.5842	8.8485	10.5118	2.428	69.6532	9663.4745	15.4708	318.8635	3.92685	24.92	938.911	1921.8968	21.7822	7.1267	10.6933	18.3623	17.336	112.4744	184.2147	1705.3274	13.5749	12.5676
TRIM24	1181.88265	868.00405	587.2061	832.2581	470.6545	476.6728	493.2573	905.0894	833.5972	800.6843	888.1781	961.6396	695.9042	261.1643	502.2733	401.9802	159.8953	315.2518	423.3106	313.5391	336.7076	300.426	458.51785	244.13285	450.67875
TRIM32	407.42905	512.1516	403.7668	395.7086	299.03905	375.0837	261.2497	383.5526	463.3822	490.9004	345.4176	410.3443	427.76375	445.7735	517.2414	626.8551	343.1507	300.9661	399.4754	330.81205	329.5455	357.1082	379.81325	341.2555	613.5166
TSC2	1371.01825	1689.85335	1630.74485	1753.4297	1781.53135	1448.4499	1841.5396	1838.7622	1347.9265	3106.347	2042.3654	1689.72655	3082.8179	12433.7083	7359.3147	19215.9011	9151.1976	10984.8961	8553.3915	7452.24195	8829.883	8775.445	12544.92025	10702.3147	11668.44985
TTK	371.90945	218.24495	593.87745	432.2799	36.25235	32.7869	15.213	143.7022	529.1329	520.7544	51.2273	470.90905	294.32835	26.6592	31.9197	4.9505	177.4376	6.1828	7.40575	4.76255	13.1356	13.5856	23.8232	178.02045	12.2354
TWIST1	71.18755	106.383	49.2677	37.8803	5.31635	15.2618	2.0317	21.4913	106.1533	103.9312	157.4257	43.32365	76.29425	307.7725	301.4136	722.4422	13.1761	12.0562	8.60065	6.85035	6.1254	6.5986	50.2884	23.2656	436.7321
TYR	0	0	0	0	0	0.4063	0.8089	0	0	0	0	0	0	3.1937	0.8379	0.3534	39.18	372.6772	287.95485	304.72095	79.3184	98.813	3.002	38.01535	0.51535
UBE2A	1665.19905	1467.68115	1895.1268	1681.4242	1309.04465	1173.4505	1008.7432	1483.111	1774.8513	1208.2088	1000.7971	1783.06975	1281.44895	1237.9703	1125.9744	1139.9589	2139.6333	1329.663	1271.7798	1037.72115	1246.9797	1223.8579	1040.3075	1882.3496	1165.52045
UBR5	2146.013	3555.92125	2032.8562	1997.3281	1640.4669	1620.9003	1203.5673	2070.4961	2566.4424	2139.1482	2043.3754	2190.79135	1609.1416	2288.2192	3720.4684	2031.0954	1665.0394	1692.7734	2058.90335	1734.80505	1781.3559	1806.4645	2119.0238	1699.56885	1839.6066
USP13	231.69105	591.3816	316.93545	253.8525	122.66475	341.9093	222.919	577.9307	527.361	347.9335	557.7818	240.2232	395.4469	322.5761	747.9521	477.8878	171.8615	423.1815	529.4446	437.6516	807.099	736.0819	483.9958	331.967	507.1377
USP28	428.0704	487.09925	519.68625	505.8444	899.99525	424.1224	364.8558	571.5486	772.8289	1031.2393	468.7626	508.42055	527.30105	492.4747	565.317	380.198	462.8462	462.1652	489.99865	440.0149	369.6822	401.634	586.9432	447.5413	468.7172
UTP20	602.73125	757.8875	609.81485	868.9254	1371.3318	612.5	609.9663	634.3228	718.0034	512.7535	516.1631	846.66605	529.98835	482.3898	878.3605	510.2473	420.8826	459.8958	562.39455	484.12255	470.2336	520.2637	549.63715	424.3341	529.73665
UTS2	0.6192	0.705	1.08285	2.8571	0	1.1148	0	1.5435	0.7637	0.2759	0.5072	1.92175	0.75335	0.7236	0	0	1.1775	0	0	0	0.8673	0.8841	0.62175	3.58695	0.4791
VDR	619.9606	985.5067	1083.11115	2248.4908	3016.00185	304.71	316.7197	1126.0355	683.803	486.6303	98.0926	2022.5407	399.93035	524.1597	785.1298	97.3597	4597.125	830.6956	1094.50195	1380.2828	740.2886	825.5034	116.4998	2952.3661	72.16725
VEGFA	3785.7699	1752.18485	3408.07105	3102.4499	5010.9039	31532.841	915.1649	4628.7242	3823.1792	3988.2172	3058.5322	3129.628	2789.99575	2905.8824	1245.4128	4768.9046	1241.5507	2858.2381	2859.0328	3196.67975	4795.5579	4090.5572	5446.66475	946.58215	2757.6215
VIPR1	288.19515	251.2431	127.4159	543.9118	41.2482	26.3175	7.5959	214.3402	148.3146	76.4231	1436.0815	573.84745	64.8762	185.7534	529.6694	59.0759	2229.8123	41.638	43.2432	54.9263	2293.3413	2355.5849	1350.15585	1660.0808	27.8259
VIPR2	5.3935	16.57865	11.89145	10.5199	4.3246	6.1495	6.6701	6.83	1.7624	13.6981	144.3786	16.1754	37.5167	224.7909	64.8293	237.3762	47.3061	29.551	27.53855	32.0006	10.5514	10.6453	226.31035	119.9682	212.95715
WNT11	20.8231	34.65125	26.8288	151.634	170.5136	6.747	6.5917	24.1636	52.2023	224.6567	72.39	248.9607	150.838	33.8192	224.7227	74.9117	78.3941	91.8555	28.1877	20.60125	93.75	99.3495	87.0826	76.62315	105.82085
WNT16	3.19855	0.98705	3.1746	1.2453	0.79535	0.9923	0.6062	3.337	7.932	1.7757	5.2448	1.4566	3.0565	1.7498	0.8865	3.6304	4.1131	1.7307	1.76205	2.53675	2.6019	2.5	18.6645	11.8176	2.66835
WNT2	75.63195	167.63925	72.9726	135.7143	23.9205	1.5875	5.9472	137.3809	113.9571	51.0558	40.6846	193.47025	201.62055	38.8235	93.1264	1008.3619	2.2297	14.4878	14.5339	13.72125	355.4267	411.573	110.91255	3.64995	1117.0149
WNT4	76.3047	126.80605	289.99705	81.8713	24.8489	6.6105	15.7048	72.3911	126.3213	73.1508	169.9623	103.0385	68.6335	201.1952	117.3238	293.2862	144.2806	45.4233	29.56115	29.31495	103.537	96.8307	249.4509	123.18785	525.03645
WNT5A	724.7885	372.30215	472.4266	404.4421	57.93895	108.169	592.1371	469.117	1568.3241	403.1731	375.1051	556.86615	779.55	1142.0815	410.8674	419.1419	168.2335	216.1795	208.3452	183.88835	530.722	493.0332	633.46075	196.4165	1748.0349
WWTR1	241.2876	412.08425	321.33545	138.9867	493.3928	1437.9189	665.0719	489.4888	683.1614	873.9313	339.3277	127.94345	416.1776	497.7458	824.7326	438.3675	238.6793	1061.1023	1243.3321	1034.40365	939.6888	937.6269	596.8644	551.79475	583.57555
XRCC5	6301.68635	7914.37585	6518.5804	7121.0274	3078.25835	5609.2622	5646.5127	6239.5601	6844.4444	7969.5923	5554.5743	7948.42965	6589.5078	6753.4367	6939.759	5544.2244	5421.5755	5562.1698	6335.8838	5147.3971	4839.8714	5123.6034	5840.20795	5882.1195	6350.3058
ZBTB16	4.7082	15.7101	2.0147	3.1746	77.72935	156.1562	61.1961	26.6988	6.4134	19.1471	394.5652	3.93215	2.7475	141.1633	407.9685	348.1837	49.613	189.2708	157.32725	176.26265	380.9524	328.0596	300.28545	76.2461	146.0299
ZEB1	232.5435	642.0288	162.9844	287.0691	288.41965	1210.9709	310.2999	408.8464	350.6745	189.2503	462.02	341.2187	204.05175	1008.5832	1271.0515	3770.4099	547.7618	658.7918	798.2558	586.1729	1257.3376	1275.2046	864.45105	1743.50215	2780.50445
ZEB2	247.266	589.80305	192.175	295.279	246.71025	1956.0393	726.2301	691.9113	499.8238	339.3882	335.4621	330.1194	173.22455	1360.6179	1630.2711	1102.1201	873.4836	788.8927	1130.7924	747.5882	2230.4482	2502.9625	614.13225	1230.7908	1220.6196
ZMYND11	1610.7158	2782.0575	1234.7685	1376.4539	2244.84405	1913.737	1605.5005	1692.2382	1391.9424	1702.0935	2398.7654	1459.06705	1481.168	2598.9041	3156.3477	3203.8869	1430.5701	2718.5607	3089.6725	2575.01455	2389.4413	2349.2893	2989.92375	1991.67995	2891.02155
ZNF703	219.9329	591.9974	206.87165	1286.4734	47.07995	50.7581	40.4355	98.1	326.1231	810.9124	256.489	1178.89665	415.8805	293.5644	228.5586	166.1412	786.3188	96.3006	49.93115	63.36465	83.5519	86.9139	252.8278	604.65445	399.21075
